Year,Week,Team Name,Player Name,Pro Team,FPTS,Position,Position2,Position3,FTA,PTS,3PM,BLK,STL,AST,REB,TO,FGM,FGA,FTM
2024,2,The Bronx Orthodox Church,Michael Porter Jr.,DEN,126,SF,,,-6,64,11,24,8,12,21,-8,48,-53,5
2024,2,The Bronx Orthodox Church,Kevin Huerter,SAC,10,SG,SF,,0,4,0,0,4,4,4,-2,4,-8,0
2024,2,The Bronx Orthodox Church,Jrue Holiday,BOS,118,PG,SG,,-4,44,8,16,4,34,21,-10,32,-31,4
2024,2,The Bronx Orthodox Church,Lauri Markkanen,UTA,158,SF,PF,,-12,90,17,8,12,16,40,-14,64,-72,9
2024,2,NYC Chopp Cheese,CJ McCollum,NOP,172,PG,SG,,-25,94,11,16,12,42,22,-10,64,-73,19
2024,2,NYC Chopp Cheese,Jordan Poole,WAS,92,PG,SG,,-2,43,6,4,32,18,4,-12,36,-38,1
2024,2,NYC Chopp Cheese,Cade Cunningham,DET,112,PG,SG,,-16,95,10,4,8,52,12,-50,72,-88,13
2024,2,NYC Chopp Cheese,Jalen Suggs,ORL,26,PG,SG,,-1,9,0,4,4,10,6,-4,8,-11,1
2024,2,NYC Chopp Cheese,Austin Reaves,LAL,54,SG,SF,,-4,31,4,4,8,10,5,-8,24,-23,3
2024,2,NYC Chopp Cheese,Jalen Johnson,ATL,85,SF,PF,,-7,41,3,4,4,18,27,-16,32,-27,6
2024,2,NYC Chopp Cheese,Spencer Dinwiddie,LAL,82,PG,SG,,-3,34,6,0,8,36,10,-10,28,-27,0
2024,2,NYC Chopp Cheese,Bam Adebayo,MIA,21,C,,,-2,18,0,0,0,6,4,-8,16,-15,2
2024,2,NYC Chopp Cheese,Jalen Williams,OKC,101,SG,SF,PF,-16,55,1,4,8,34,18,-18,42,-39,12
2024,2,NYC Chopp Cheese,Donovan Mitchell,CLE,210,PG,SG,,-24,125,15,4,28,46,16,-28,88,-82,22
2024,2,NYC Chopp Cheese,Dejounte Murray,ATL,158,PG,SG,,-8,85,8,4,12,40,19,-20,70,-59,7
2024,2,NYC Chopp Cheese,Walker Kessler,UTA,108,C,,,-7,34,0,44,0,2,31,-6,30,-24,4
2024,2,NYC Chopp Cheese,Grant Williams,CHA,40,PF,,,-1,18,4,4,0,6,4,0,14,-9,0
2024,2,NYC Chopp Cheese,Jaylen Brown,BOS,119,SG,SF,,-14,75,10,8,12,14,18,-8,54,-61,11
2024,2,NYC Chopp Cheese,Robert Williams III,POR,36,C,,,-4,13,0,4,8,0,13,-4,10,-7,3
2024,2,NYC Chopp Cheese,Draymond Green,GSW,124,PF,C,,-13,46,6,16,20,40,10,-12,28,-29,12
2024,2,I Watch Basketbal,Ben Simmons,BKN,83,PG,PF,,-4,23,0,8,4,38,30,-20,22,-19,1
2024,2,I Watch Basketbal,Ausar Thompson,DET,155,SG,SF,,-11,61,2,32,28,28,33,-18,50,-59,9
2024,2,I Watch Basketbal,Brandon Ingram,NOP,34,SF,PF,,-3,16,1,4,0,6,7,-2,12,-10,3
2024,2,I Watch Basketbal,Brandon Miller,CHA,82,SG,SF,,-12,49,3,8,4,12,18,-2,36,-44,10
2024,2,I Watch Basketbal,Buddy Hield,PHL,85,SG,SF,,-1,44,12,12,0,16,16,-10,32,-36,0
2024,2,I Watch Basketbal,Jarrett Allen,CLE,54,C,,,-5,22,0,8,4,6,16,-6,18,-13,4
2024,2,I Watch Basketbal,Luka Doncic,DAL,203,PG,,,-33,110,14,16,12,78,41,-50,70,-81,26
2024,2,I Watch Basketbal,Stephen Curry,GSW,191,PG,,,-23,121,23,0,20,38,20,-38,78,-68,20
2024,2,I Watch Basketbal,Cole Anthony,ORL,10,PG,,,-6,10,0,0,0,2,2,-2,6,-6,4
