Year,Week,Type,Team Name,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name
2022,11,Regular,Team nunu man ,Home,610,896,0,1,L-Eat Gang
2022,12,Regular,Team nunu man ,Away,913,1116,0,1,My Entire Team  Suggs
2022,13,Regular,Team nunu man ,Away,988,1106,0,1,NYC Chopp Cheese
2022,14,Regular,Team nunu man ,Home,1233,890,1,0,The Taste of Lavar's Balls
2022,15,Regular,Team nunu man ,Home,710,1249,0,1,Ben’s Sons
2022,16,Regular,Team nunu man ,Away,880,1161,0,1,Michigan Wolversemen
2022,17,Regular,Team nunu man ,Away,916,1330,0,1,Who Invited This Kid?
2022,18,Regular,Team nunu man ,Home,1062,1268,0,1,Fuck Kevin Garnett
2022,19,Regular,Team nunu man ,Away,800,963,0,1,New Jersey Eren
2022,20,Regular,Team nunu man ,Home,762,1388,0,1,Monjizl Wanker Lads
2022,21,Regular,Team nunu man ,Away,877,1016,0,1,L-Eat Gang
2022,22,Playoffs,Team nunu man ,Home,902,620,1,0,NYC Chopp Cheese
2022,23,Playoffs,Team nunu man ,Away,751,858,0,1,Fuck Kevin Garnett
2022,24,Playoffs,Team nunu man ,Away,745,0,1,0,The Bronx Gangbangers
2022,1,Regular,Who Invited This Kid?,Home,1069,1083,0,1,L-Eat Gang
2022,2,Regular,Who Invited This Kid?,Home,1342,989,1,0,Fuck Kevin Garnett
2022,3,Regular,Who Invited This Kid?,Away,1451,1334,1,0,The Bronx Gangbangers
2022,4,Regular,Who Invited This Kid?,Away,1020,1271,0,1,New Jersey Eren
2022,5,Regular,Who Invited This Kid?,Home,1237,1286,0,1,Monjizl Wanker Lads
2022,6,Regular,Who Invited This Kid?,Home,1247,1192,1,0,Team nunu man 
2022,7,Regular,Who Invited This Kid?,Away,1254,999,1,0,My Entire Team  Suggs
2022,8,Regular,Who Invited This Kid?,Home,1286,1077,1,0,The Taste of Lavar's Balls
2022,9,Regular,Who Invited This Kid?,Away,902,1113,0,1,Michigan Wolversemen
2022,10,Regular,Who Invited This Kid?,Home,674,737,0,1,Ben’s Sons
